Advisory,Advisory ID,Published Date
Safari 18.1.1,macOS Ventura and macOS Sonoma,19 Nov 2024
visionOS 2.1.1,Apple Vision Pro,19 Nov 2024
iOS 18.1.1 and iPadOS 18.1.1,"iPhone XS and later, iPad Pro 13-inch, iPad Pro 12.9-inch 3rd generation and later, iPad Pro 11-inch 1st generation and later, iPad Air 3rd generation and later, iPad 7th generation and later, and iPad mini 5th generation and later",19 Nov 2024
iOS 17.7.2 and iPadOS 17.7.2,"iPhone XS and later, iPad Pro 13-inch, iPad Pro 12.9-inch 2nd generation and later, iPad Pro 10.5-inch, iPad Pro 11-inch 1st generation and later, iPad Air 3rd generation and later, iPad 6th generation and later, and iPad mini 5th generation and later",19 Nov 2024
macOS Sequoia 15.1.1,macOS Sequoia,19 Nov 2024
Safari 18.1,macOS Ventura and macOS Sonoma,29 Oct 2024
iOS 18.1 and iPadOS 18.1,"iPhone XS and later, iPad Pro 13-inch, iPad Pro 12.9-inch 3rd generation and later, iPad Pro 11-inch 1st generation and later, iPad Air 3rd generation and later, iPad 7th generation and later, and iPad mini 5th generation and later",28 Oct 2024
iOS 17.7.1 and iPadOS 17.7.1,"iPhone XS and later, iPad Pro 13-inch, iPad Pro 12.9-inch 2nd generation and later, iPad Pro 10.5-inch, iPad Pro 11-inch 1st generation and later, iPad Air 3rd generation and later, iPad 6th generation and later, and iPad mini 5th generation and later",28 Oct 2024
macOS Sequoia 15.1,macOS Sequoia,28 Oct 2024
macOS Sonoma 14.7.1,macOS Sonoma,28 Oct 2024
macOS Ventura 13.7.1,macOS Ventura,28 Oct 2024
watchOS 11.1,Apple Watch Series 6 and later,28 Oct 2024
tvOS 18.1,Apple TV HD and Apple TV 4K (all models),28 Oct 2024
visionOS 2.1,Apple Vision Pro,28 Oct 2024
Apple TV 1.5.0.152 for Windows,Windows 10 22H2 and later,03 Oct 2024
iOS 18.0.1 and iPadOS 18.0.1,"iPhone XS and later, iPad Pro 13-inch, iPad Pro 12.9-inch 3rd generation and later, iPad Pro 11-inch 1st generation and later, iPad Air 3rd generation and later, iPad 7th generation and later, and iPad mini 5th generation and later",03 Oct 2024
macOS Sequoia 15.0.1This update has no published CVE entries.,macOS Sequoia,03 Oct 2024
watchOS 11.0.1This update has no published CVE entries.,Apple Watch Series 6 and later,03 Oct 2024
visionOS 2.0.1This update has no published CVE entries.,Apple Vision Pro,03 Oct 2024
Safari 18.0.1This update has no published CVE entries.,macOS Ventura and macOS Sonoma,03 Oct 2024
iOS 18 and iPadOS 18,"iPhone XS and later, iPad Pro 13-inch, iPad Pro 12.9-inch 3rd generation and later, iPad Pro 11-inch 1st generation and later, iPad Air 3rd generation and later, iPad 7th generation and later, and iPad mini 5th generation and later",16 Sep 2024
macOS Sequoia 15,"Mac Studio (2022 and later), iMac (2019 and later), Mac Pro (2019 and later), Mac Mini (2018 and later), MacBook Air (2020 and later), MacBook Pro (2018 and later), and iMac Pro (2017 and later)",16 Sep 2024
tvOS 18,Apple TV HD and Apple TV 4K (all models),16 Sep 2024
watchOS 11,Apple Watch Series 6 and later,16 Sep 2024
visionOS 2,Apple Vision Pro,16 Sep 2024
Safari 18,macOS Ventura and macOS Sonoma,16 Sep 2024
Xcode 16,macOS Sonoma 14.5 and later,16 Sep 2024
iOS 17.7 and iPadOS 17.7,"iPhone XS and later, iPad Pro 13-inch, iPad Pro 12.9-inch 2nd generation and later, iPad Pro 10.5-inch, iPad Pro 11-inch 1st generation and later, iPad Air 3rd generation and later, iPad 6th generation and later, and iPad mini 5th generation and later",16 Sep 2024
macOS Sonoma 14.7,macOS Sonoma,16 Sep 2024
macOS Ventura 13.7,macOS Ventura,16 Sep 2024
iTunes 12.13.3 for Windows,Windows 10 and later,12 Sep 2024
watchOS 10.6.1This update has no published CVE entries.,Apple Watch Series 4 and later,19 Aug 2024
tvOS 17.6.1This update has no published CVE entries.,Apple TV HD and Apple TV 4K (all models),19 Aug 2024
iOS 17.6.1 and iPadOS 17.6.1This update has no published CVE entries.,"iPhone XS and later, iPad Pro 13-inch, iPad Pro 12.9-inch 2nd generation and later, iPad Pro 10.5-inch, iPad Pro 11-inch 1st generation and later, iPad Air 3rd generation and later, iPad 6th generation and later, and iPad mini 5th generation and later",07 Aug 2024
iOS 16.7.10 and iPadOS 16.7.10This update has no published CVE entries.,"iPhone 8, iPhone 8 Plus, iPhone X, iPad 5th generation, iPad Pro 9.7-inch, and iPad Pro 12.9-inch 1st generation",07 Aug 2024
macOS Sonoma 14.6.1This update has no published CVE entries.,macOS Sonoma,07 Aug 2024
macOS Ventura 13.6.9This update has no published CVE entries.,macOS Ventura,07 Aug 2024
Safari 17.6,macOS Monterey and macOS Ventura,29 Jul 2024
iOS 17.6 and iPadOS 17.6,"iPhone XS and later, iPad Pro 13-inch, iPad Pro 12.9-inch 2nd generation and later, iPad Pro 10.5-inch, iPad Pro 11-inch 1st generation and later, iPad Air 3rd generation and later, iPad 6th generation and later, and iPad mini 5th generation and later",29 Jul 2024
iOS 16.7.9 and iPadOS 16.7.9,"iPhone 8, iPhone 8 Plus, iPhone X, iPad 5th generation, iPad Pro 9.7-inch, and iPad Pro 12.9-inch 1st generation",29 Jul 2024
macOS Sonoma 14.6,macOS Sonoma,29 Jul 2024
macOS Ventura 13.6.8,macOS Ventura,29 Jul 2024
macOS Monterey 12.7.6,macOS Monterey,29 Jul 2024
watchOS 10.6,Apple Watch Series 4 and later,29 Jul 2024
tvOS 17.6,Apple TV HD and Apple TV 4K (all models),29 Jul 2024
visionOS 1.3,Apple Vision Pro,29 Jul 2024
iOS 15.8.3 and iPadOS 15.8.3This update has no published CVE entries.,"iPhone 6s (all models), iPhone 7 (all models), iPhone SE (1st generation), iPad Air 2, iPad mini (4th generation), and iPod touch (7th generation)",29 Jul 2024
"AirPods Firmware Update 6A326, AirPods Firmware Update 6F8, and Beats Firmware Update 6F8","AirPods (2nd generation and later), AirPods Pro (all models), AirPods Max, Powerbeats Pro, and Beats Fit Pro",25 Jun 2024
visionOS 1.2,Apple Vision Pro,10 Jun 2024
tvOS 17.5.1This update has no published CVE entries.,Apple TV HD and Apple TV 4K (all models),21 May 2024
iOS 17.5.1 and iPadOS 17.5.1This update has no published CVE entries.,"iPhone XS and later, iPad Pro 13-inch, iPad Pro 12.9-inch 2nd generation and later, iPad Pro 10.5-inch, iPad Pro 11-inch 1st generation and later, iPad Air 3rd generation and later, iPad 6th generation and later, and iPad mini 5th generation and later",20 May 2024
Safari 17.5,macOS Monterey and macOS Ventura,13 May 2024
