Advisory,Advisory ID,Published Date,Updated Date
Intel® Neural Compressor Software Advisory,INTEL-SA-01219,"November 12, 2024","November 12, 2024"
Intel® oneAPI DPC++/C++ Compiler Advisory,INTEL-SA-01217,"November 12, 2024","November 12, 2024"
Intel® Thunderbolt™ Share Software Advisory,INTEL-SA-01204,"November 12, 2024","November 12, 2024"
Intel® EMA Software Advisory,INTEL-SA-01201,"November 12, 2024","November 12, 2024"
Intel® DSA Software Advisory,INTEL-SA-01200,"November 12, 2024","November 12, 2024"
Intel® Advanced Link Analyzer Standard Edition Software Advisory,INTEL-SA-01197,"November 12, 2024","November 12, 2024"
Intel® Processor (SPP) Advisory,INTEL-SA-01196,"November 12, 2024","November 12, 2024"
Intel® Quartus® Prime Pro Edition Software Advisory,INTEL-SA-01195,"November 12, 2024","November 12, 2024"
Intel® Quartus® Prime Standard Edition Software for Windows Advisory,INTEL-SA-01193,"November 12, 2024","November 12, 2024"
Intel® Graphics Driver Advisory,INTEL-SA-01191,"November 12, 2024","November 12, 2024"
Intel® Extension for Transformers Software Advisory,INTEL-SA-01190,"November 12, 2024","November 12, 2024"
Intel® Optane™ PMem Management Software Advisory,INTEL-SA-01189,"November 12, 2024","November 12, 2024"
Intel® SGX SDK Advisory,INTEL-SA-01188,"November 12, 2024","November 12, 2024"
Intel® VTune™ Profiler Advisory,INTEL-SA-01187,"November 12, 2024","November 12, 2024"
Intel® Server Board S2600ST Family BIOS and Firmware Update software Advisory,INTEL-SA-01183,"November 12, 2024","November 12, 2024"
Intel® CIP Software Advisory,INTEL-SA-01182,"November 12, 2024","November 12, 2024"
Intel® SDP Tool for Windows Software Advisory,INTEL-SA-01179,"November 12, 2024","November 12, 2024"
Intel® QuickAssist Technology Engine for OpenSSL Advisory,INTEL-SA-01177,"November 12, 2024","November 12, 2024"
ACAT Software Advisory,INTEL-SA-01176,"November 12, 2024","November 12, 2024"
Intel® Server Products UEFI Firmware Advisory,INTEL-SA-01175,"November 12, 2024","November 12, 2024"
Intel® Fortran Compiler Classic Software Advisory,INTEL-SA-01173,"November 12, 2024","November 12, 2024"
Intel® PROSet/Wireless WiFi Advisory,INTEL-SA-01167,"November 12, 2024","November 12, 2024"
Intel® Distribution for Python Software Advisory,INTEL-SA-01165,"November 12, 2024","November 12, 2024"
Intel® Graphics Compiler and Intel® Arc™ Pro Graphics Advisory,INTEL-SA-01163,"November 12, 2024","November 12, 2024"
Intel® MAS Software Advisory,INTEL-SA-01161,"November 12, 2024","November 12, 2024"
OpenVINO™ Model Server Software Advisory,INTEL-SA-01158,"November 12, 2024","November 12, 2024"
Intel® oneAPI Math Kernel Library Software for Windows Advisory,INTEL-SA-01155,"November 12, 2024","November 12, 2024"
Intel® VROC Software Advisory,INTEL-SA-01154,"November 12, 2024","November 12, 2024"
JAM STAPL Player Software Advisory,INTEL-SA-01151,"November 12, 2024","November 12, 2024"
Intel® High Level Synthesis Compiler Software Advisory,INTEL-SA-01148,"November 12, 2024","November 12, 2024"
BigDL Software Advisory,INTEL-SA-01146,"November 12, 2024","November 12, 2024"
Intel® Granulate™ Software Advisory,INTEL-SA-01145,"November 12, 2024","November 12, 2024"
Intel® Rendering Toolkit Software Advisory,INTEL-SA-01142,"November 12, 2024","November 12, 2024"
Intel® IPP Software Advisory,INTEL-SA-01140,"November 12, 2024","November 12, 2024"
Intel® Binary Configuration Tool Software Advisory,INTEL-SA-01138,"November 12, 2024","November 12, 2024"
Intel® Graphics Software Advisory,INTEL-SA-01132,"November 12, 2024","November 12, 2024"
Intel® VPL Software Advisory,INTEL-SA-01131,"November 12, 2024","November 12, 2024"
Intel® ACTM Module Software Advisory,INTEL-SA-01111,"November 15, 2024","November 12, 2024"
Intel® PROSet/Wireless Wi-Fi Software and Intel® Wireless Bluetooth Advisory,INTEL-SA-01108,"November 12, 2024","November 12, 2024"
Intel® Xeon® Processor Advisory,INTEL-SA-01101,"November 13, 2024","November 12, 2024"
Intel® UEFI Firmware Advisory,INTEL-SA-01085,"November 12, 2024","November 12, 2024"
Intel® Xeon® Processor with Intel® SGX Advisory,INTEL-SA-01079,"November 15, 2024","November 12, 2024"
Intel® TDX Seamldr Software Advisory,INTEL-SA-01076,"November 12, 2024","November 12, 2024"
Intel® CST Software Advisory,INTEL-SA-01024,"November 12, 2024","November 12, 2024"
Intel® TDX Module Software Advisory,INTEL-SA-01099,"October 8, 2024","October 8, 2024"
2024.3 IPU - Intel® Processor RAPL Interface Advisory,INTEL-SA-01103,"November 12, 2024","September 10, 2024"
2024.3 IPU - Intel® Processor Advisory,INTEL-SA-01097,"November 12, 2024","September 10, 2024"
2024.3 IPU - UEFI Firmware Advisory,INTEL-SA-01071,"November 12, 2024","September 10, 2024"
Intel® RAID Web Console Software Advisory,INTEL-SA-00926,"September 10, 2024","September 10, 2024"
Intel® UEFI Integrator Tools on Aptio V for Intel® NUC Advisory,INTEL-SA-01172,"August 13, 2024","August 13, 2024"
Intel® MAS (GUI) Software Advisory,INTEL-SA-01164,"August 13, 2024","August 13, 2024"
Intel® Arc™ & Iris® Xe Graphics Software Advisory,INTEL-SA-01130,"August 13, 2024","August 13, 2024"
Intel® IPP Software Advisory,INTEL-SA-01129,"August 13, 2024","August 13, 2024"
Intel® VROC Software Advisory,INTEL-SA-01128,"August 13, 2024","August 13, 2024"
Intel® Quartus® Prime Pro Edition Design Software Advisory,INTEL-SA-01127,"August 13, 2024","August 13, 2024"
Intel® License Manager for FLEXlm Product Software Advisory,INTEL-SA-01126,"August 13, 2024","August 13, 2024"
EMON Software Advisory,INTEL-SA-01125,"August 13, 2024","August 13, 2024"
Intel® VTune™ Profiler Software Advisory,INTEL-SA-01122,"August 13, 2024","August 13, 2024"
Intel® Server Board S2600ST Family Firmware Advisory,INTEL-SA-01121,"August 13, 2024","August 13, 2024"
3rd Generation Intel® Xeon® Scalable Processor Advisory,INTEL-SA-01118,"August 13, 2024","August 13, 2024"
Intel® Trace Analyzer and Collector Software Advisory,INTEL-SA-01117,"August 13, 2024","August 13, 2024"
Intel®  Simics Package Manager Software Advisory,INTEL-SA-01116,"August 13, 2024","August 13, 2024"
Intel® MPI Library Software Advisory,INTEL-SA-01115,"August 13, 2024","August 13, 2024"
Intel® IPP Cryptography Software Advisory,INTEL-SA-01114,"August 13, 2024","August 13, 2024"
Intel® High Level Synthesis Compiler Software Advisory,INTEL-SA-01113,"August 13, 2024","August 13, 2024"
Intel® CIP Software Advisory,INTEL-SA-01112,"August 13, 2024","August 13, 2024"
Intel® Advisor Software Advisory,INTEL-SA-01110,"August 13, 2024","August 13, 2024"
Flexlm License Daemons for Intel® FPGA Software Advisory,INTEL-SA-01107,"August 13, 2024","August 13, 2024"
Intel® Ethernet Adapter Driver Pack Software Installer Advisory,INTEL-SA-01106,"August 13, 2024","August 13, 2024"
Intel® GPA Software Advisory,INTEL-SA-01105,"August 13, 2024","August 13, 2024"
Intel® FPGA SDK for OpenCL™ Software Technology Advisory,INTEL-SA-01104,"August 13, 2024","August 13, 2024"
Intel® Connectivity Performance Suite Software Installer Advisory,INTEL-SA-01102,"August 13, 2024","August 13, 2024"
2024.3 IPU - Intel® Xeon® Processor Advisory,INTEL-SA-01100,"August 13, 2024","August 13, 2024"
Intel Unite® Client Software Installer Advisory,INTEL-SA-01095,"August 13, 2024","August 13, 2024"
Intel® Data Center GPU Max Series Advisory,INTEL-SA-01094,"August 13, 2024","August 13, 2024"
Intel® HID Event Filter Software Installer Advisory,INTEL-SA-01089,"August 13, 2024","August 13, 2024"
Intel®  ISH Software Installer Advisory,INTEL-SA-01088,"August 13, 2024","August 13, 2024"
Intel Agilex® FPGA Firmware Advisory,INTEL-SA-01087,"August 13, 2024","August 13, 2024"
2024.3 IPU - SMI Transfer Monitor Advisory,INTEL-SA-01083,"August 13, 2024","August 13, 2024"
OpenBMC Firmware Advisory,INTEL-SA-01078,"August 13, 2024","August 13, 2024"
Intel® Distribution for GDB Software Advisory,INTEL-SA-01075,"August 13, 2024","August 13, 2024"
Intel® Xeon Processor Advisory,INTEL-SA-01073,"August 13, 2024","August 13, 2024"
Intel® oneAPI Math Kernel Library Software Advisory,INTEL-SA-01072,"August 13, 2024","August 13, 2024"
Intel® TDX Module Software Advisory,INTEL-SA-01070,"August 13, 2024","August 13, 2024"
Intel® oneAPI Compiler Software Advisory,INTEL-SA-01057,"August 13, 2024","August 13, 2024"
2024.2 IPU - Intel® Processor Stream Cache Advisory,INTEL-SA-01046,"August 13, 2024","August 13, 2024"
Intel® Core™ Ultra Processor Stream Cache Advisory,INTEL-SA-01038,"August 13, 2024","August 13, 2024"
