Advisory,Advisory ID,Published Date,Updated Date,URL,CVE IDs,Description,CVSS Base Score 3.1,CVSS Vector 3.1,CVSS Base Score 4.0,CVSS Vector 4.0,Affected Products,Recommendation
Intel® NUC Software Studio Service Advisory,INTEL-SA-01185,"December 10, 2024","December 10, 2024",https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-01185.html,"['CVE-2024-23197', 'CVE-2024-34159', 'CVE-2024-23498', 'CVE-2024-36483', 'CVE-2024-36297']",Improper initialization in the Intel® NUC Software Studio Service software for Windows may allow an authenticated user to potentially enable information disclosure via local access.,4.7 Medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,5.7 Medium,CVSS:4.0/AV:L/AC:H/AT:N/PR:L/UI:N/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N,"Intel® NUC Software Studio Service software, all versions. Intel® NUC M15 Laptop Kits: LAPBC510, LAPBC710. Intel® NUC P14E Laptop Element: CMCN1CC. ","Intel has issued a product discontinuation notice for Intel® NUC Software Studio Service software.  As of March 30, 2024, the Intel® NUC Software Studio Service software is not supported with any additional functional, security, or other updates. Intel recommends that users of the Intel® NUC Software Studio Service software uninstall it or discontinue use as soon as possible.  Product support for many NUC products has moved to ASUS. Technical and Warranty Support for Intel’s NUC 7 through NUC 13 Systems has transitioned to ASUS as of January 16, 2024. See the NUC Customer Support notice for more information. "
Intel® Neural Compressor Software Advisory,INTEL-SA-01219,"November 12, 2024","November 12, 2024",https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-01219.html,"['CVE-2024-39368', 'CVE-2024-28028', 'CVE-2024-39766', 'CVE-2024-36284', 'CVE-2024-37181']",Time-of-check time-of-use race condition in some Intel® Neural Compressor software before version v3.0 may allow an authenticated user to potentially enable information disclosure via adjacent access.,2.6 Low,CVSS:3.1/AV:A/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,2.1 Low,CVSS:4.0/AV:A/AC:H/AT:P/PR:L/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N,Intel® Neural Compressor software before version v3.0.,Intel recommends updating Intel® Neural Compressor software to version v3.0 or later. Updates are available for download at this location: https://github.com/intel/neural-compressor/releases
Intel® oneAPI DPC++/C++ Compiler Advisory,INTEL-SA-01217,"November 12, 2024","November 12, 2024",https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-01217.html,['CVE-2024-34165'],Uncontrolled search path in some Intel® oneAPI DPC++/C++ Compiler before version 2024.2 may allow an authenticated user to potentially enable escalation of privilege via local access.,6.7 Medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:H,5.4 Medium,CVSS:4.0/AV:L/AC:H/AT:P/PR:L/UI:A/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,"Intel® oneAPI Base Toolkit (Base Kit) before version 2024.2.

Intel® HPC Toolkit (HPC Kit) before version 2024.2.

Intel® oneAPI DPC++/C++ Compiler before version 2024.2.

Intel® Fortran Compiler before version 2024.2.",Intel recommends updating Intel® oneAPI Base Toolkit (Base Kit) to version 2024.2 or later.  Updates are available for download at this location:  https://www.intel.com/content/www/us/en/developer/tools/oneapi/base-toolkit-download.html Intel recommends updating Intel® HPC Toolkit (HPC Kit) to version 2024.2 or later.  Updates are available for download at this location:  https://www.intel.com/content/www/us/en/developer/tools/oneapi/hpc-toolkit.html#gs.136mhe Intel recommends updating Intel® oneAPI DPC++/C++ Compiler to version 2024.2 or later.  Updates are available for download at this location:  https://www.intel.com/content/www/us/en/developer/articles/tool/oneapi-standalone-components.html#dpcpp-cpp Intel recommends updating Intel® Fortran Compiler to version 2024.2 or later.  Updates are available for download at this location:  https://www.intel.com/content/www/us/en/developer/articles/tool/oneapi-standalone-components.html#fortran
Intel® Thunderbolt™ Share Software Advisory,INTEL-SA-01204,"November 12, 2024","November 12, 2024",https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-01204.html,['CVE-2024-34022'],Improper Access Control in some Thunderbolt™ Share software before version 1.0.49.9 may allow an authenticated user to potentially enable escalation of privilege via local access.,6.7 Medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:H,5.4 Medium,CVSS:4.0/AV:L/AC:H/AT:P/PR:L/UI:A/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,Thunderbolt™ Share software before version 1.0.49.9. ,Intel recommends updating Thunderbolt™ Share software to version 1.0.49.9 or later. Updates are available for download at this location:  https://intel.com/ThunderboltShare 
Intel® EMA Software Advisory,INTEL-SA-01201,"November 12, 2024","November 12, 2024",https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-01201.html,['CVE-2024-32483'],Improper access control for some Intel® EMA software before version 1.13.1.0 may allow an authenticated user to potentially enable escalation of privilege via local access.,8.2 High,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H,7.0 High,CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:P/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,Intel® EMA software before version 1.13.1.0.,Intel recommends updating Intel® EMA software to version 1.13.1.0 or later. Updates are available for download at this location: https://www.intel.com/content/www/us/en/download/19449
Intel® DSA Software Advisory,INTEL-SA-01200,"November 12, 2024","November 12, 2024",https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-01200.html,"['CVE-2024-36488', 'CVE-2024-36294']",Insecure inherited permissions for some Intel® DSA software before version 24.3.26.8 may allow an authenticated user to potentially enable escalation of privilege via local access.,6.7 Medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:H,5.4 Medium,CVSS:4.0/AV:L/AC:H/AT:P/PR:L/UI:A/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,Intel® DSA software before 24.3.26.8.,Intel recommends updating Intel® DSA to version 24.3.26.8 or later. Updates are available for download at this location: https://www.intel.com/content/www/us/en/support/intel-driver-support-assistant.html
Intel® Advanced Link Analyzer Standard Edition Software Advisory,INTEL-SA-01197,"November 12, 2024","November 12, 2024",https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-01197.html,['CVE-2024-37025'],Incorrect execution-assigned permissions in some Intel® Advanced Link Analyzer Standard Edition software installer before version 23.1.1 may allow an authenticated user to potentially enable escalation of privilege via local access.,6.7 Medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:H,5.4 Medium,CVSS:4.0/AV:L/AC:H/AT:P/PR:L/UI:P/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,Intel® Advanced Link Analyzer Standard Edition software installer before version 23.1.1.,"Intel recommends updating the Intel® Advanced Link Analyzer Standard Edition software to version 23.1.1 or later. Updates are available for download at this location:

https://www.intel.com/content/www/us/en/software-kit/825309/intel-advanced-link-analyzer-standard-edition-software-version-23-1-1-for-windows.html"
Intel® Processor (SPP) Advisory,INTEL-SA-01196,"November 12, 2024","November 12, 2024",https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-01196.html,"['CVE-2024-36242', 'CVE-2024-38660']",Protection mechanism failure in the SPP for some Intel® Xeon® processor family (E-Core) may allow an authenticated user to potentially enable escalation of privilege via local access.,3.8 Low,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:N/I:L/A:N,2.0 Low,CVSS:4.0/AV:L/AC:L/AT:P/PR:L/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N,"Product Collection

Platform

Vertical Segment

CPU ID

Platform ID 

CVE ID

3rd Gen Intel® Xeon® Scalable processor family

Whitley

Server Workstation 

606A6

0x87

CVE-2024-36242

Intel® Xeon® D Processor

Idaville

Server

606C1

0x01

CVE-2024-36242

4th Generation Intel® Xeon® Scalable processors

4th Generation Intel® Xeon® Platinum processors

4th Generation Intel® Xeon® Gold Processors

4th Generation Intel® Xeon® Silver Processor

4th Generation Intel® Xeon® Bronze Processor

Eagle Stream

Server

0x806f8 

0x87

CVE-2024-36242

Intel® Xeon® CPU Max Series processors (High Bandwidth Memory HBM) 

Eagle Stream

Server

806F8

0x4

CVE-2024-36242

4th Generation Intel® Xeon® Edge Enhanced Processors

4th Gen Intel Xeon Scalable Processors with Intel® vRAN

Eagle Stream

Network and Edge

806f8

0x01

CVE-2024-36242

Intel® Xeon® W2400 and W3400 Processors

Fishhawk Falls

Workstation

806F8

0x87

CVE-2024-36242

5th Generation Intel® Xeon® Scalable processors

Eagle Stream

Server

C0F62

0x87

CVE-2024-36242

Intel® Xeon® 6 processor family

 Sierra Forest

Server

A06F2

N/A

CVE-2024-38660","Intel provided recommendations for Virtual Machine Monitor (VMM, hypervisor) software in virtualized environments. Intel is not aware of any mainstream VMM software that enables SPP. There is no action required in non-virtualized environments or where SPP is not used."
Intel® Quartus® Prime Pro Edition Software Advisory,INTEL-SA-01195,"November 12, 2024","November 12, 2024",https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-01195.html,['CVE-2024-38383'],Uncontrolled search path for some Intel® Quartus® Prime Pro Edition software for Windows before version 24.2 may allow an authenticated user to potentially enable escalation of privilege via local access.,6.7 Medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:H,5.4 Medium,CVSS:4.0/AV:L/AC:H/AT:P/PR:L/UI:A/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,Intel® Quartus® Prime Pro Edition software before version 24.2.,Intel recommends updating Intel® Quartus Prime Pro Edition software to version 24.2 or later. Updates are available for download at this location: https://www.intel.com/content/www/us/en/software-kit/826844
Intel® Quartus® Prime Standard Edition Software for Windows Advisory,INTEL-SA-01193,"November 12, 2024","November 12, 2024",https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-01193.html,['CVE-2024-38668'],Uncontrolled search path for some Intel® Quartus® Prime Standard Edition software for Windows before version 23.1.1 may allow an authenticated user to potentially enable escalation of privilege via local access.,6.7 Medium,CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:H,5.4 Medium,CVSS:4.0/AV:L/AC:H/AT:P/PR:L/UI:A/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,Intel® Quartus® Prime Standard Edition software for Windows before version 23.1.1.,Intel recommends updating Intel® Quartus® Prime Standard Edition software for Windows to version 23.1.1 or later. Updates are available for download at this location: https://www.intel.com/content/www/us/en/software-kit/825245
