Advisory Title,CVE IDs,Severity,Published Date,Affected Products,Mitigation Details,URL
SD1713 | Multiple Code Execution Vulnerabilities in Arena®,"CVE-2024-11155 ,, CVE-2024-11156 ,, CVE-2024-11158 ,, CVE-2024 -12130",High,High,Affected Product; Software - Arena; CVE-2044-11156; CVE-2024-11158; CVE-2024 -12130,"Multiple Code Execution Vulnerabilities in Arena®
Published Date: 12/5/2024
Revision Number: 1.0
CVSS Score: v3.1: 7.8, v4.0 8.5
AFFECTED PRODUCTS AND SOLUTION

Affected Product

CVE

Affected Software Version

Corrected in Software Version

Software - Arena
 

CVE-2024-11155 

All versions 16.20.00 and prior

V16.20.06 and later

CVE-2044-11156
 

All versions 16.20.03 and prior

V16.20.06 and later

CVE-2024-11158
 

All versions 16.20.00 and prior

V16.20.06 and later

CVE-2024 -12130

All versions 16.20.03 and prior

V16.20.06 and later
 


VULNERABILITY DETAILS
Rockwell Automation used the latest version of the CVSS scoring system to assess the following vulnerabilities. The following vulnerabilities were reported by ZDI (Zero Day Initiative).
CVE-2024-11155 IMPACT
A “use after free”  code execution vulnerability exists in the affected products that could allow a threat actor to craft a DOE file and force the software to use a resource that was already used. If exploited, a threat actor could leverage this vulnerability to execute arbitrary code. To exploit this vulnerability, a legitimate user must execute the malicious code crafted by the threat actor.
CVSS 3.1 Base Score: 7.8
CVSS 3.1 Vector: CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
 
CVSS 4.0 Base Score: 8.5
CVSS 4.0 Vector: CVSS:4.0/AV:L/AC:L/AT:N/PR:N/UI:P/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N
CWE:  CWE-416 Use After Free
Known Exploited Vulnerability (KEV) database: No


CVE-2024-11156 IMPACT
An “out of bounds write”  code execution vulnerability exists in the affected products that could allow a threat actor to write beyond the boundaries of allocated memory in a DOE file. If exploited, a threat actor could leverage this vulnerability to execute arbitrary code. To exploit this vulnerability, a legitimate user must execute the malicious code crafted by the threat actor.
CVSS 3.1 Base Score: 7.8
CVSS 3.1 Vector: CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
 
CVSS 4.0 Base Score: 8.5
CVSS 4.0 Vector: CVSS:4.0/AV:L/AC:L/AT:N/PR:N/UI:P/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N
CWE:  CWE-787 Out-of-bounds Write
Known Exploited Vulnerability (KEV) database: No
CVE-2024-11158 IMPACT
An “uninitialized variable”  code execution vulnerability exists in the affected products that could allow a threat actor to craft a DOE file and force the software to access a variable before it being initialized. If exploited, a threat actor could leverage this vulnerability to execute arbitrary code. To exploit this vulnerability, a legitimate user must execute the malicious code crafted by the threat actor.
CVSS 3.1 Base Score: 7.8
CVSS 3.1 Vector: CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
 
CVSS 4.0 Base Score: 8.5
CVSS 4.0 Vector: CVSS:4.0/AV:L/AC:L/AT:N/PR:N/UI:P/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N
CWE:  CWE-665 Improper Initialization
Known Exploited Vulnerability (KEV) database: No
 
CVE-2024-12130 IMPACT
An “out of bounds read” code execution vulnerability exists in the affected products that could allow a threat actor to craft a DOE file and force the software to read beyond the boundaries of an allocated memory. If exploited, a threat actor could leverage this vulnerability to execute arbitrary code. To exploit this vulnerability, a legitimate user must execute the malicious code crafted by the threat actor.
CVSS 3.1 Base Score: 7.8
CVSS 3.1 Vector: CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
 
CVSS 4.0 Base Score: 8.5
CVSS 4.0 Vector: CVSS:4.0/AV:L/AC:L/AT:N/PR:N/UI:P/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N

CWE: CWE-125: Out-of-bounds Read
Known Exploited Vulnerability (KEV) database: No
 
Mitigations and Workarounds
Customers using the affected software are encouraged to apply these risk mitigations, if possible.
For information on how to mitigate Security Risks on industrial automation control systems, we encourage customers to implement our suggested security best practices to minimize the risk of the vulnerability.
Customers can use Stakeholder-Specific Vulnerability Categorization to generate more environment-specific prioritization.",https://www.rockwellautomation.com/en-in/trust-center/security-advisories/advisory.SD1713.html
SD1712 | Third Party Remote Code Execution Vulnerability in Verve Reporting,CVE-2024-37287,High,High,Affected Product; Verve Reporting,"Published Date: 11/14/24
Last updated: 11/14/24
Revision Number: 1.0
CVSS Score: v3.1: 6.8/10, v4.0: 8.4/10
AFFECTED PRODUCTS AND SOLUTION

Affected Product
Affected Version(s)
Corrected in Software Revision
Verve Reporting
<v1.39
V1.39

VULNERABILITY DETAILS 
Rockwell Automation used version 3.1 and 4.0 of the CVSS scoring system to assess the following vulnerabilities. 
CVE-2024-37287 IMPACT
Verve Reporting utilizes Kibana which contains a remote code execution vulnerability that allows an attacker with access to ML and Alerting connecting features as well as write access to internal ML to trigger a prototype pollution vulnerability, which can ultimately lead to arbitrary code execution. The code execution is limited to the container.
CVSS Base Score v3.1: 7.2/10
CVSS Vector CVSS: 3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVSS Base Score v4.0: 8.6/10
CVSS Vector: CVSS:4.0/AV:N/AC:L/AT:N/PR:H/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N
CWE-1395: Dependency on Vulnerable Third-Party Component
Known Exploited Vulnerability (KEV) database:  No
Customers can use Stakeholder-Specific Vulnerability Categorization to generate more environment specific prioritization.
Mitigations and Workarounds 
Customers using the affected software are encouraged to apply the risk mitigations, if possible. Additionally, we encourage customers to implement our suggested security best practices to minimize the risk of vulnerability. 

Restrict Access to Built-in Verve Account
Access to the built-in ""verve"" account should be limited to only administrators who need to perform administrative functions and should only be used for administrative purposes. Separate accounts should be used for day-to-day functions.
Change the password for the built-in ""verve"" account if it has been shared.


Restrict Privileges for Other Accounts
Verve Reporting comes with built-in roles to simplify the delegation of user permissions. Assigning a user the following two roles will allow them access to most Verve Reporting features (excluding user administration), but will not give them permission to execute this vulnerability.
all-all
feature-all-all




Disable Machine Learning
Machine learning can be disabled in the Elasticsearch configuration override. Contact Verve support for assistance if needed.
Connect to the Reporting server via SSH or terminal.
Copy the Elasticsearch configuration override to the working directory.
docker exec $(docker ps --filter ""name=Reporting_elasticsearch"" --format ""{{ .ID }}"") cat /usr/share/elasticsearch/config-templates/elasticsearch.override.yml > elasticsearch.override.yml


Add the following line and save.
xpack.ml.enabled: false


Disable Verve Reporting from the Verve Software Manager.
Update the Elasticsearch configuration override.
docker config rm elasticsearchymloverride 
docker config create elasticsearchymloverride ./elasticsearch.override.yml


Enable Verve Reporting from the Verve Software Manager and confirm that the application starts and ""Machine Learning"" is no longer listed in the main navigation bar under Analytics.
Delete the copy of the Elasticsearch configuration override. 
rm elasticsearch.override.yml








Security Best Practices",https://www.rockwellautomation.com/en-in/trust-center/security-advisories/advisory.SD1712.html
SD1711 | Input Validation Vulnerability exists in Arena® Input Analyzer,CVE-2024-6068,High,High,Affected Product; Arena® Input Analyzer,"Published Date: 11/14/2024
Revision Number: 1.0
CVSS Score: 3.1: 7.3/10, 4.0: 7.0/10
 
AFFECTED PRODUCTS AND SOLUTION

Affected Product

Affected Software Version

Corrected in Software Version

Arena® Input Analyzer 




16.20.03 and prior

16.20.04


VULNERABILITY DETAILS
These vulnerabilities were reported to Rockwell Automation by Michael Heinzl. Rockwell Automation used the latest version of the CVSS scoring system to assess the following vulnerabilities.
CVE-2024-6068 IMPACT
A memory corruption vulnerability exists in the affected products when parsing DFT files.  Local threat actors can exploit this issue to disclose information and to execute arbitrary code. To exploit this vulnerability a legitimate user must open a malicious DFT file.
CVSS 3.1 Base Score: 7.3
CVSS 3.1 Vector:  CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVSS 4.0 Base Score: 7.0
CVSS 4.0 Vector:  CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:P/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N
CWE:  CWE 1284 Improper Validation of Specified Quantity in Input
Known Exploited Vulnerability (KEV) database: No
Mitigations and Workarounds
Customers using the affected software are encouraged to apply the risk mitigations, if possible.
·       For information on how to mitigate Security Risks on industrial automation control systems, we encourage customers to implement our suggested security best practices to minimize the risk of the vulnerability.
Customers can use Stakeholder-Specific Vulnerability Categorization to generate more environment-specific prioritization.",https://www.rockwellautomation.com/en-in/trust-center/security-advisories/advisory.SD1711.html
SD1710 | FactoryTalk® Updater Multiple Vulnerabilities,"CVE-2024-10943,, CVE-2024-10944,, CVE-2024-10945","High,","High, 
                                        
                                    

                                        
                                        Critical",Affected Product; FactoryTalk® Updater – Web Client; FactoryTalk® Updater – Client; FactoryTalk® Updater – Agent,"Published Date: 11/12/2024
Last Updated: 11/12/2024
Revision Number: 1.0
CVSS Score: Multiple, see below
The security of our products is important to us as your chosen industrial automation supplier. This anomaly was found internally during routine testing and is being reported based on our commitment to customer transparency and to improve their business or production environments.
AFFECTED PRODUCTS AND SOLUTION

Affected Product

CVE

First Known in Software Version

Corrected in Software Version

 
FactoryTalk® Updater – Web Client
 

CVE-2024-10943

v4.00.00

v4.20.00

 
FactoryTalk® Updater – Client
 

CVE-2024-10944

All version

V4.20.00

 
FactoryTalk® Updater – Agent
 

CVE-2024-10945

All version
 

V4.20.00


VULNERABILITY DETAILS
Rockwell Automation used the latest version of the CVSS scoring system to assess the following vulnerabilities.
CVE-2024-10943 IMPACT
An authentication bypass vulnerability exists in the affected product. The vulnerability exists due to shared secrets across accounts and could allow a threat actor to impersonate a user if the threat actor is able to enumerate additional information required during authentication.
CVSS 3.1 Base Score: 9.1
CVSS 3.1 Vector: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N
CVSS 4.0 Base Score: 9.1
CVSS 4.0 Vector: CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:H/VI:H/VA:N/SC:N/SI:N/SA:N
CWE:  CWE-922: Insecure Storage of Sensitive Information
Known Exploited Vulnerability (KEV) database: No
CVE-2024-10944 IMPACT
A Remote Code Execution vulnerability exists in the affected product. The vulnerability requires a high level of permissions and exists due to improper input validation resulting in the possibility of a malicious Updated Agent being deployed.
CVSS 3.1 Base Score: 8.4
CVSS 3.1 Vector: CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVSS 4.0 Base Score: 7.1
CVSS 4.0 Vector: CVSS:4.0/AV:N/AC:L/AT:P/PR:H/UI:A/VC:H/VI:H/VA:H/SC:L/SI:L/SA:L
CWE:  CWE-20: Improper Input Validation
Known Exploited Vulnerability (KEV) database: No
Mitigations and Workarounds
Customers using the affected software are encouraged to apply the risk mitigations, if possible.
·         Control access to the server where FactoryTalk® Updater is running.
·         Click the ‘Scan’ button, which will update the database
CVE-2024-10945 IMPACT
A Local Privilege Escalation vulnerability exists in the affected product. The vulnerability requires a local, low privileged threat actor to replace certain files during update and exists due to a failure to perform proper security checks before installation.
CVSS 3.1 Base Score: 7.3
CVSS 3.1 Vector: CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVSS 4.0 Base Score: 7.0
CVSS 4.0 Vector: CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:P/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N
CWE:  CWE-358: Improperly Implemented Security Check for Standard
Known Exploited Vulnerability (KEV) database: No
Mitigations and Workarounds
Customers using the affected software are encouraged to apply the risk mitigations, if possible.
·         For information on how to mitigate Security Risks on industrial automation control systems, we encourage customers to implement our suggested security best practices to minimize the risk of the vulnerability.
Customers can use Stakeholder-Specific Vulnerability Categorization to generate more environment-specific prioritization.",https://www.rockwellautomation.com/en-in/trust-center/security-advisories/advisory.SD1710.html
SD1709 | FactoryTalk View ME Remote Code Execution Vulnerability via Project Save Path,CVE-2024-37365,High,High,Affected Product; FactoryTalk View ME,"Published Date: November 12th, 2024
Last updated: November 12th, 2024
Revision Number: 1.0
CVSS Score: v3.1: 7.3/10, v4.0: 7.0/10
The security of our products is important to us as your chosen industrial automation supplier.  This anomaly was found internally during routine testing and is being reported based on our commitment to customer transparency and to improve our customer’s business or production environments.
AFFECTED PRODUCTS AND SOLUTION

Affected Product

First Known in Software Revision

Corrected in Software Revision

FactoryTalk View ME

>= V14; when using default folders privileges

V15


 
Mitigations and Workarounds
Users using the affected software, who are not able to upgrade to one of the corrected versions, are encouraged to apply security best practices, where possible.   
·         To enhance security and prevent unauthorized modifications to HMI project files, harden the Windows OS by removing the INTERACTIVE group from the folder’s security properties.
·         Add specific users or user groups and assign their permissions to this folder using the least privileges principle. Users with read-only permission can still test run and run the FactoryTalk View ME Station.
·         Guidance can be found in FactoryTalk View ME v14 Help topic: “HMI projects folder settings”. It can be opened through FactoryTalk View ME Studio menu “help\Contents\FactoryTalk View ME Help\Create a Machine Edition application->Open applications->HMI project folder settings”.   Security Best Practices
VULNERABILITY DETAILS
Rockwell Automation used version 3.1 and 4.0 of the CVSS scoring system to assess the following vulnerabilities.
CVE-2024-37365 IMPACT
A remote code execution vulnerability exists in the affected product. The vulnerability allows users to save projects within the public directory allowing anyone with local access to modify and/or delete files. Additionally, a malicious user could potentially leverage this vulnerability to escalate their privileges by changing the macro to execute arbitrary code.
CVSS 3.1 Base Score: 7.3/10 
CVSS Vector: CVSS: CVSS:3.0/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVSS 4.0 Base Score: 7.0/10
CVSS Vector: CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:P/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N
CWE-20: Improper Input Validation
Known Exploited Vulnerability (KEV) database: No
Customers can use Stakeholder-Specific Vulnerability Categorization to generate more environment specific prioritization.
 ADDITIONAL RESOURCES
The following link provides CVE information in Vulnerability Exploitability Exchange (VEX) format, which is machine readable and can be used to automate vulnerability management and tracking activities.",https://www.rockwellautomation.com/en-in/trust-center/security-advisories/advisory.SD1709.html
SD1708 | ThinManager® Multiple Vulnerabilities,"CVE-2024-10386,, CVE-2024-10387","High,","High, 
                                        
                                    

                                        
                                        Critical",Affected Product; ThinManager®,"ThinManager® Multiple Vulnerabilities
Published Date: 10/25/2024 
Last Updated: 10/25/2024 
Revision Number: 1.0 
CVSS Score: Multiple, see below
AFFECTED PRODUCTS AND SOLUTION

Affected Product
Affected Version(s)
Corrected Version(s)
ThinManager® 
11.2.0-11.2.9
12.0.0-12.0.7
12.1.0-12.1.8
13.0.0-13.0.5
13.1.0-13.1.3
13.2.0-13.2.2
14.0.0

 
11.2.10 
12.0.8 
12.1.9 
13.0.6
13.1.4
13.2.3
14.0.1
Available here: ThinManager Downloads | ThinManager ®


 
VULNERABILITY DETAILS
The security of our products is important to us as your chosen industrial automation supplier. Rockwell Automation used the latest version of the CVSS scoring system to assess the following vulnerabilities. These vulnerabilities were discovered and reported to Rockwell Automation by security researchers at Tenable Network Security.
CVE-2024-10386 IMPACT
An authentication vulnerability exists in the affected product. The vulnerability could allow a threat actor with network access to send crafted messages to the device, potentially resulting in database manipulation.
CVSS 3.1 Base Score: 9.8 
CVSS 3.1 Vector: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVSS 4.0 Base Score: 9.3 
CVSS 4.0 Vector: CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N
CWE-306: Missing Authentication for Critical Function 
Known Exploited Vulnerability (KEV) database: No
CVE-2024-10387 IMPACT
A Denial-of-Service vulnerability exists in the affected product. The vulnerability could allow a threat actor with network access to send crafted messages to the device, potentially resulting in Denial-of-Service.
CVSS 3.1 Base Score: 7.5 
CVSS 3.1 Vector: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H
CVSS 4.0 Base Score: 8.7 
CVSS 4.0 Vector: CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N
CWE-125: Out-of-bounds Read 
Known Exploited Vulnerability (KEV) database: No
Mitigations and Workarounds 
Customers using the affected software are encouraged to apply these risk mitigations, if possible.

If able, navigate to the ThinManager® download site and upgrade to a corrected version of ThinManager® .



Implement network hardening for ThinManager® Device(s) by limiting communications to TCP 2031 to only the devices that require connection to the ThinManager® .



For information on how to mitigate Security Risks on industrial automation control systems, we encourage customers to implement our suggested security best practices to minimize the risk of the vulnerability.


Customers can use Stakeholder-Specific Vulnerability Categorization to generate more environment-specific prioritization.",https://www.rockwellautomation.com/en-in/trust-center/security-advisories/advisory.SD1708.html
SD1707 | ControlLogix Vulnerable to Denial of Service via CIP Messages,CVE-2024-6207,High,High,Affected Product; ControlLogix® 5580; ControlLogix® 5580 Process; GuardLogix 5580; CompactLogix 5380; Compact GuardLogix 5380 SIL 2; Compact GuardLogix 5380 SIL 3; CompactLogix 5480; FactoryTalk® Logix Echo,"Published Date: October 10, 2024 
Last updated: October 10, 2024
Revision Number: 1.0
CVSS Score: v3.1: 7.5, v4.0: 8.7 
 
AFFECTED PRODUCTS AND SOLUTION

Affected Product

First Known in firmware revision
Corrected in firmware revision
ControlLogix® 5580
V28.011
V33.017, V34.014, V35.013, V36.011 and later
ControlLogix® 5580 Process
V33.011
V33.017, V34.014, V35.013, V36.011 and later
GuardLogix 5580
V31.011
 V33.017, V34.014, V35.013, V36.011 and later
CompactLogix 5380
V28.011
 V33.017, V34.014, V35.013, V36.011 and later
Compact GuardLogix 5380 SIL 2
V31.011
V33.017, V34.014, V35.013, V36.011 and later
Compact GuardLogix 5380 SIL 3
V32.013
V33.017, V34.014, V35.013, V36.011 and later
CompactLogix 5480
V32.011
V33.017, V34.014, V35.013, V36.011 and later
FactoryTalk® Logix Echo 
V33.011
V34.014, V35.013, V36.011 and later

 
VULNERABILITY DETAILS
Rockwell Automation used version 3.1 and 4.0 of the CVSS scoring system to assess the following vulnerabilities. The following vulnerability was reported to Rockwell Automation by Trevor Flynn.
CVE-2024-6207 IMPACT
A denial-of-service vulnerability exists in the affected products that will cause the device to result in a major nonrecoverable fault (MNRF) when it receives an invalid CIP request. To exploit this vulnerability a malicious user must chain this exploits with CVE 2021-22681 and send a specially crafted CIP message to the device.  If exploited, a threat actor could help prevent access to the legitimate user and end connections to connected devices including the workstation.  To recover the controllers, a download is required which ends any process that the controller is running. 
CVSS Base Score v3.1: 7.5/10
CVSS Vector: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H 
 
CVSS Base Score v4.0: 8.7/10
CVSS Vector: CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N
CWE: CWE-20: Improper Input Validation
 
Known Exploited Vulnerability (KEV) database:  No
 
Users can use Stakeholder-Specific Vulnerability Categorization to generate more environment-specific prioritization.
 
Mitigations and Workarounds 
Users using the affected software are also encouraged to apply security best practices to minimize the risk of vulnerability. 

Security Best Practices


 
 ADDITIONAL RESOURCES

JSON CVE-2024-6207",https://www.rockwellautomation.com/en-in/trust-center/security-advisories/advisory.SD1707.html
SD1705 | PowerFlex 6000T CIP Security denial-of-service Vulnerability,CVE-2024-9124,High,High,Affected Product; Drives - PowerFlex 6000T,"Published Date: 10/8/2024
Last Updated: 10/8/2024 
Revision Number: 1.0 
CVSS Score: 8.2/10
The security of our products is important to us as your chosen industrial automation supplier. This anomaly was found internally during routine testing and is being reported based on our commitment to customer transparency and to improving your business or production environments.
AFFECTED PRODUCTS AND SOLUTION

Affected Product

Affected Software Version
Corrected in Software Version
Drives - PowerFlex 6000T
8.001, 8.002, 9.001
10.001

 
VULNERABILITY DETAILS
Rockwell Automation used the latest version of the CVSS scoring system to assess the following vulnerabilities.
CVE-2024-9124 IMPACT
A denial-of-service vulnerability exists in the PowerFlex® 6000T. If the device is overloaded with requests, it will become unavailable. The device may require a power cycle to recover it if it does not re-establish a connection after it stops receiving requests. 
CVSS 3.1 Base Score: 7.5 
CVSS 3.1 Vector: CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H
CVSS 4.0 Base Score: 8.2 
CVSS 4.0 Vector: CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N
CWE:  Improper Check for Unusual or Exceptional Conditions 
Known Exploited Vulnerability (KEV) database: No
Mitigations and Workarounds 
Customers using the affected software, who are not able to upgrade to one of the corrected versions, are encouraged to apply security best practices, where possible.    

Security Best Practices 


Customers can use Stakeholder-Specific Vulnerability Categorization to generate more environment-specific prioritization.
ADDITIONAL RESOURCES

CVE-2024-9124 JSON",https://www.rockwellautomation.com/en-in/trust-center/security-advisories/advisory.SD1705.html
SD1706 | Logix Controllers Vulnerable to Denial-of-Service Vulnerability,CVE-2024-8626,High,High,Affected Product; CompactLogix 5380 controllers; Compact GuardLogix® 5380 controllers; CompactLogix 5480 controllers; ControlLogix 5580 controllers; GuardLogix 5580 controllers; 1756-EN4TR,"Logix Controllers Vulnerable to Denial-of-Service Vulnerability
Published Date: October 8, 2024
Last updated:  October 10, 2024
Revision Number: 2.0
CVSS Score: 8.7/10
AFFECTED PRODUCTS AND SOLUTION

Affected Product
First Known in Firmware Revision
Corrected in Firmware Revision
CompactLogix 5380 controllers
v33.011<

v33.015 and later for versions 33



v34.011 and later



Compact GuardLogix® 5380 controllers
v33.011<
CompactLogix 5480 controllers
v33.011<
ControlLogix 5580 controllers
v33.011<
GuardLogix 5580 controllers
v33.011<
1756-EN4TR
v3.002

4.001 and later




Mitigations and Workarounds 
Customers using the affected versions are encouraged to upgrade to corrected firmware versions. We also strongly encourage customers to implement our suggested security best practices to minimize the risk of the vulnerability. 

Security Best Practices


VULNERABILITY DETAILS
CVE-2024-8626 IMPACT
Due to a memory leak, a denial-of-service vulnerability exists in the affected products. A malicious actor could exploit this vulnerability by performing multiple actions on certain web pages of the product causing the affected products to become fully unavailable and require a power cycle to recover. 
Rockwell Automation used the latest version of the CVSS scoring system to assess the following vulnerabilities.  
CVSS Base Score: 7.5/10 (high) 
CVSS Vector: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H
CVSS Base Score: 8.7/10 (high)
CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N
CWE: 400 – Uncontrolled Resource Consumption 
ADDITIONAL RESOURCES

JSON CVE-2024-8626",https://www.rockwellautomation.com/en-in/trust-center/security-advisories/advisory.SD1706.html
SD1704 | Improper Authorization Vulnerability in Verve® Asset Manager,CVE-2024-9412,Medium,Medium,Affected Product; Verve® Asset Manager,"Published Date: 10/8/24
Last updated: 10/8/24
Revision Number: 1.0
CVSS Score: v3.1: 6.8, v4.0: 8.4
 
AFFECTED PRODUCTS AND SOLUTION

 
 
Affected Product
 
 

 
 
Affected Versions
 
 

 
 
Corrected in software version
 
 

 
 
Verve® Asset Manager 
 
 

 
 
All versions < 1.38
 
 

 
 
V1.38
 
 


 
VULNERABILITY DETAILS 
Rockwell Automation used the latest version of the CVSS scoring system to assess the following vulnerabilities.
 
 CVE-2024-9412 IMPACT
An improper authorization vulnerability exists in the affected products that could allow an unauthorized user to sign in. While removal of all role mappings is unlikely, it could occur in the case of unexpected or accidental removal by the administrator. If exploited, an unauthorized user could access data they previously but should no longer have access to.  
 
CVSS Base Score v3.1: 6.8/10
CVSS Vector: CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
 
CVSS Base Score v4.0: 8.4/10
CVSS Vector: CVSS:4.0/AV:N/AC:L/AT:N/PR:H/UI:A/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N
CWE: CWE-842: Placement of User into Incorrect Group 
Known Exploited Vulnerability (KEV) database:  No
Customers can use Stakeholder-Specific Vulnerability Categorization to generate more environment-specific prioritization.
 
Mitigations and Workarounds 
Customers using the affected software are encouraged to apply the risk mitigations, if possible. Additionally, we encourage customers to implement our suggested security best practices to minimize the risk of vulnerability.  

The presence of any mappings will help prevent this vulnerability from being exploited. If all mappings must be removed, manually removing previously mapped users is an effective workaround.



Security Best Practices


 
 ADDITIONAL RESOURCES
·       JSON CVE-2024-9412",https://www.rockwellautomation.com/en-in/trust-center/security-advisories/advisory.SD1704.html
